GLCNACPTRANS-RXN	ACGAMT
D-XYLULOSE-REDUCTASE-RXN	XYLTD_D
RXN-11109	ATPM
RXN-11103	H4MPTGL(atp)
PNKIN-RXN	PYDXNK
GLU6PDEHYDROG-RXN	G6PBDH
2.1.1.130-RXN	PC20M
DGTPTRIPHYDRO-RXN	NTPTP1
RXN1F-20	MPML
RXN-12444	FLDO
UDPGLCNACEPIM-RXN	UAG2E
SORB6PDEHYDROG-RXN	SBTPD
HOMSUCTRAN-RXN	HSST
GLUCUROISOM-RXN	GUI1
1.3.1.54-RXN	PC6AR
RXN-9659	EAR80x
RXN-9658	EAR60x
RXN-3641	3OXCOAT
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	HMGL
RXN-7682	HXAND
RXN0-5038	PDE1
GLYCERATE-DEHYDROGENASE-RXN	GLYD
2.7.7.39-RXN	G3PCT
PMPOXI-RXN	PYAM5PO
RXN0-6981	LALGP
1.14.11.1-RXN	BBHOX
PTAALT-RXN	PTA2
ATPSYN-RXN	ATPS4m
RXN-11737	LCYSTAT
NADPH-DEHYDROGENASE-FLAVIN-RXN	FLVR
PNPOXI-RXN	PDX5PO
D-ARABINOSE-1-DEHYDROGENASE-RXN	ARAB1D1
RXN-10066	AICART2
THIKIN-RXN	TMK
FUCISOM-RXN	FCI
SUCCCOASYN-RXN	SUCOAS
RIBOFLAVIN-SYN-RXN	RBFSb
4OH2OXOGLUTARALDOL-RXN	DDPGA
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	ILETA
RXN-9518	3OAR60
RXN-9510	FMNRx
RXN-9843	P45027A15m
RXN-9840	AKR1D
RXN-9516	3OAS60
RXN0-6973	FDMO4
PREPHENATE-DEHYDROGENASE-NADP+-RXN	PPND2
2.7.1.151-RXN	MI145P6Kn
KDGALDOL-RXN	GLCRAL
RHAMNULPALDOL-RXN	RMPA
AMPSYN-RXN	ADSL1
ALLYSINE-DEHYDROG-RXN	AASAD3
1.3.1.25-RXN	BZDIOLDH
2-ISOPROPYLMALATESYN-RXN	IPPS
RXN-12736	MMSAD2
RXN-12735	HOPNTAL2
RXN-8076	2PLS
RXN-8077	LPPGS
3.5.1.92-RXN	PNTEH
RXN-8078	LPFPLT
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	SPTix
HYDROXYPYRUVATE-DECARBOXYLASE-RXN	HPYRDC
RXN-13729	PSPHPL
1.1.1.64-RXN	HSD17B3r
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	OIVD1m
ACETYL-COA-HYDROLASE-RXN	ACOAH
RXN0-304	ALLULPE
FUMHYDR-RXN	FUM
LTAA-RXN	THRA2i
RXN-9673	FACOAL1821
RXN-7163	MI13456PK
PHENYLALANINE--TRNA-LIGASE-RXN	PHETRS
RXN-7162	MI1456PKn
ISOLEUCINE--TRNA-LIGASE-RXN	ILETRS
